iter	RMSE
0	158.8266514
1	157.2813721
2	155.995231
3	154.8743806
4	153.8034418
5	152.8401392
6	151.9063464
7	151.2704601
8	150.5001017
9	149.8202243
10	149.2286196
11	148.6397763
12	148.1045545
13	147.6856765
14	147.2163642
15	146.8103351
16	146.4809431
17	146.1661509
18	145.8556206
19	145.5060477
20	145.2033686
21	144.9426587
22	144.6441051
23	144.3891917
24	144.1142008
25	143.8843354
26	143.6436772
27	143.3712116
28	143.1629437
29	142.9180651
30	142.6708756
31	142.417607
32	142.2130567
33	141.9977378
34	141.7890783
35	141.5780391
36	141.358942
37	141.1966205
38	141.0646033
39	140.910942
40	140.7562636
41	140.5514519
42	140.3741788
43	140.2171721
44	140.0786352
45	139.9558013
46	139.8207056
47	139.6790562
48	139.5243884
49	139.3685604
50	139.185587
51	139.0438194
52	138.8785981
53	138.7260504
54	138.602977
55	138.4965464
56	138.358541
57	138.2467767
58	138.1253791
59	138.0247808
60	137.9069033
61	137.814702
62	137.7116021
63	137.6130205
64	137.5089519
65	137.3962001
66	137.2789308
67	137.1656638
68	137.0396207
69	136.9295762
70	136.7992331
71	136.6838046
72	136.5766391
73	136.4750443
74	136.3687074
75	136.2964951
76	136.2141368
77	136.1029144
78	136.0073231
79	135.9134699
80	135.8323844
81	135.7366912
82	135.6806573
83	135.5819603
84	135.4766997
85	135.4115251
86	135.3015325
87	135.1982935
88	135.1790798
89	135.0833232
90	134.9750113
91	134.9583933
92	134.8340953
93	134.8167965
94	134.7081996
95	134.5938843
96	134.4836149
97	134.4570685
98	134.3601606
99	134.2534193
100	134.1388773
101	134.0335756
102	133.9083969
103	133.8251255
104	133.7600755
105	133.6438509
106	133.5340579
107	133.4349996
108	133.294649
109	133.1856657
110	133.078882
111	132.9507676
112	132.8515227
113	132.7428847
114	132.6352087
115	132.5403156
116	132.5019866
117	132.3995238
118	132.225125
119	132.0858057
120	132.0639603
121	131.9517406
122	131.8610377
123	131.7565715
124	131.6251094
125	131.5259841
126	131.5083317
127	131.4103132
128	131.3010164
129	131.2066351
130	131.1239879
131	131.0389508
132	131.0135549
133	130.9135953
134	130.8336309
135	130.7189276
136	130.6528748
137	130.5416173
138	130.4678348
139	130.3689357
140	130.3097246
141	130.2218803
142	130.1356513
143	130.1159947
144	130.0064577
145	129.9363898
146	129.8325193
147	129.7504862
148	129.7316323
149	129.612268
150	129.542267
151	129.450084
152	129.3599284
153	129.2639478
154	129.2465554
155	129.1499458
156	129.0394306
157	128.9573059
158	128.890817
159	128.8118223
160	128.7437709
161	128.6313448
162	128.5206608
163	128.4771808
164	128.459949
165	128.3778055
166	128.2836796
167	128.2680017
168	128.1830672
169	128.0866688
170	128.0160143
171	127.9801986
172	127.8845103
173	127.8190984
174	127.7517823
175	127.6588032
176	127.5773188
177	127.4707034
178	127.4526685
179	127.3351233
180	127.2686947
181	127.2172004
182	127.1482479
183	127.0476497
184	126.9579235
185	126.9412597
186	126.8565551
187	126.7605332
188	126.6778463
189	126.5830484
190	126.5159971
191	126.4907837
192	126.4309741
193	126.3674468
194	126.2802141
195	126.2212898
196	126.1481277
197	126.0619007
198	125.9858908
199	125.9349324
200	125.8457196
201	125.7787329
202	125.7256109
203	125.6565408
204	125.5804628
205	125.5109527
206	125.4306998
207	125.3790246
208	125.3098692
209	125.2306547
210	125.1691183
211	125.1205018
212	125.0607612
213	124.9692823
214	124.9017379
215	124.8359567
216	124.7608223
217	124.6756097
218	124.6168688
219	124.5543075
220	124.5017767
221	124.4873494
222	124.4241284
223	124.3607029
224	124.2850244
225	124.2062968
226	124.1640305
227	124.081792
228	124.0131882
229	123.9381267
230	123.8781486
231	123.8184701
232	123.7515956
233	123.667373
234	123.5799347
235	123.520227
236	123.4487078
237	123.3957016
238	123.3189311
239	123.256669
240	123.1816965
241	123.1176953
242	123.0521356
243	122.9756312
244	122.9147325
245	122.8364481
246	122.7750423
247	122.719447
248	122.7049196
249	122.6463888
250	122.5995029
251	122.536625
252	122.4743495
253	122.4300122
254	122.3768892
255	122.3146173
256	122.2546207
257	122.2408851
258	122.1698287
259	122.1024881
260	122.0418749
261	122.006019
262	121.9528216
263	121.8968032
264	121.8211198
265	121.762677
266	121.7174918
267	121.6764745
268	121.6039479
269	121.5168471
270	121.4469355
271	121.3955498
272	121.3600587
273	121.3108332
274	121.2611261
275	121.1903143
276	121.1366354
277	121.0718251
278	121.049292
279	121.0277539
280	121.0146382
281	120.9568147
282	120.9010578
283	120.8430747
284	120.7714933
285	120.7371575
286	120.6814609
287	120.6283561
288	120.5757067
289	120.5296337
290	120.5171962
291	120.4659683
292	120.4078602
293	120.3662448
294	120.3424736
295	120.2536098
296	120.2099238
297	120.1525366
298	120.1083877
299	120.0439855
300	119.9762616
301	119.9284931
